,TICID,Camera,CCD,Tmag,RA,Dec,planet,light_curve
1746,29760053,4,3,9.5,64.328,-69.8946,0,"[array([0.99785787, 0.99802607, 0.99812794, ..., 1.00296187, 1.00199878,
       1.00297654]), array([1517.36277191, 1517.37527184, 1517.38707734, ..., 1541.96898562,
       1541.98079117, 1541.99329117])]"
5332,118829622,2,4,6.56,134.9729,-22.6913,0,"[array([1.00176322, 1.00077271, 1.00119352, ..., 0.99931467, 0.99920136,
       0.99949461]), array([1517.36884283, 1517.38273197, 1517.39245436, ..., 1541.97440991,
       1541.98621519, 1541.9987149 ])]"
16305,344955805,1,3,9.91,152.1854,2.73,0,"[array([0.99531811, 0.99633235, 0.99357796, ..., 0.98793328, 0.98817623,
       0.98892784]), array([1517.3690428 , 1517.38154322, 1517.39334917, ..., 1541.97562632,
       1541.98743171, 1541.99993154])]"
7248,149120602,4,3,9.82,80.8137,-62.3247,0,"[array([0.99541044, 0.99484909, 0.99414349, ..., 1.00765395, 1.00745726,
       1.00760102]), array([1517.36372317, 1517.37622305, 1517.3880285 , ..., 1541.96972386,
       1541.98152926, 1541.9940291 ])]"
16402,347548185,2,4,9.49,133.7754,-14.0593,0,"[array([0.99823445, 0.99815148, 0.99737006, ..., 1.00026917, 1.00000799,
       1.00087953]), array([1517.36864327, 1517.38114343, 1517.39294914, ..., 1541.97472803,
       1541.98653321, 1541.99903281])]"
6573,141824122,4,4,10.39,93.2188,-74.1858,0,"[array([0.99221414, 0.99284887, 0.99272203, ..., 1.00273633, 1.00325024,
       1.00286698]), array([1517.36323251, 1517.37573262, 1517.38753829, ..., 1541.96976614,
       1541.98157181, 1541.99407194])]"
11020,238914615,4,2,10.86,94.0382,-52.281,0,"[array([1.00013852, 0.99984038, 0.99919468, ..., 0.99987924, 1.00015342,
       1.00057793]), array([1517.36492065, 1517.3774205 , 1517.38922591, ..., 1541.9707293 ,
       1541.98253455, 1541.99503423])]"
2906,41030824,4,4,8.81,90.4616,-71.9588,0,"[array([0.99850798, 0.99815249, 0.99778658, ..., 0.99882013, 0.99961758,
       0.9990474 ]), array([1517.35987294, 1517.37376191, 1517.38626198, ..., 1541.96978203,
       1541.98158765, 1541.99408771])]"
8289,167011964,4,1,9.72,95.1388,-68.4768,0,"[array([0.99558234, 0.99712509, 0.99445051, ..., 1.00482798, 1.00441158,
       1.00399435]), array([1517.36371101, 1517.37621107, 1517.38801667, ..., 1541.97007092,
       1541.98187648, 1541.99437649])]"
17498,358465278,3,4,9.52,118.8469,-60.3137,0,"[array([0.99825454, 0.99840266, 0.99636418, ..., 1.00351322, 1.00333726,
       1.00357318]), array([1517.36487738, 1517.37737754, 1517.38918326, ..., 1541.97135149,
       1541.98315704, 1541.99565704])]"
7298,149216024,4,3,13.06,82.0352,-64.1687,0,"[array([0.9826079 , 0.98940659, 0.98209685, ..., 1.01292586, 1.00997066,
       1.0116986 ]), array([1517.36364969, 1517.37545516, 1517.38795508, ..., 1541.96973142,
       1541.98153687, 1541.99403675])]"
16326,345036540,1,3,9.43,154.5334,0.7172,0,"[array([1.02160943, 1.01273012, 0.99951708, ..., 0.98076564, 0.98229247,
       0.99278033]), array([1517.36892166, 1517.38142214, 1517.39322815, ..., 1541.97562762,
       1541.98743307, 1541.99993296])]"
