,ID,b,t_max,tau,umin,Amax,Dmag,fbl,I_bl,I0,start_day,t_max_new,n,m,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25
518,2008-0520,0,2456044.653,30.958,0.238,4.298,1.583,0.352,20.172,21.305,2455260.75,676,759,813,0.012951746661368417,-0.0006959995466278755,-0.017629425229981618,0.0019136379846446383,0.005172471304554574,-0.0017147210571962484,-0.0007095612933581489,0.0004926548817217617,0.0005078197804522018,-7.123626674290923e-05,-0.0003066758470498069,-2.1860277914251546e-05,0.00012797749426765774,3.0994042708889744e-05,-5.2448636944269575e-05,1.668126680112753e-05,-5.336138067988924e-06,2.1722931571940925e-05,-1.693884008635719e-05,2.2174882602539254e-06,-2.269691217535223e-05,2.1726784217030627e-05,-4.135933408355666e-06,-4.803245056450039e-07,-1.2807612360298966e-05,4.661394669826294e-06
519,2008-0521,0,2456058.605,28.709,0.006,167.5,5.56,0.492,18.693,19.462,2455265.75,505,742,838,0.019269201287403826,0.002327372470475613,-0.030270940427526715,-0.0050553266282009745,0.018117900326064203,0.005732312551761636,-0.013480649624919053,-0.006779396734927907,0.010871796234608957,0.006567280991318482,-0.007336137175742472,-0.005498982040782676,0.004596399286801279,0.004245983761181099,-0.002690845071474159,-0.003109723171713161,0.0014328462699744393,0.0021272440503429186,-0.0006697320509417643,-0.0012638337419884841,0.0002643190292184631,0.0007976623953386387,-8.747108836494134e-05,-0.00037611918533135157,-1.8894152500467802e-05,0.0002940659646286786
520,2008-0522,0,2456045.558,10.07,0.31,3.339,1.309,0.535,19.512,20.191,2455265.75,718,760,802,0.00883468882603331,1.074655507970236e-06,-0.013520323945755553,0.0002462085509901133,0.006348592183059899,-0.0004686938056999626,-0.0023061871049516553,0.00023806555058951062,0.0007940626935749222,-0.00010067515105036347,-0.00023832492215518407,1.767007015664823e-05,8.67934170330054e-05,1.68229989848946e-05,-2.7177364868307708e-05,-1.2779973457585717e-05,2.8222156608758177e-05,3.929968202611601e-05,-1.247049111718618e-05,-3.864953292853665e-06,1.3239102059899258e-05,1.9216120857710535e-05,-2.7907624788700338e-06,3.8450241829964905e-06,1.6770331850529402e-06,3.811681177681328e-06
521,2008-0523,0,2456044.395,20.556,0.048,20.832,3.297,0.131,19.761,21.971,2455265.75,718,765,805,0.007924814395287694,-0.003904957003850732,-0.010141656443434571,0.00684529737308607,0.0013451487258963701,-0.0037190103342829807,0.001011216309264376,0.0010257613836696712,-0.00039102279628048527,-0.00032947839067124245,0.00017122489213667374,3.569843808431986e-05,2.4280939231986735e-06,-2.8060554187851902e-05,3.563064889340705e-05,4.675600270368358e-05,-1.0113682113274112e-06,-1.0549618195524397e-05,2.838119228837546e-05,2.5902249046797162e-05,2.5136862102750764e-06,4.102310278382306e-06,1.1491543437270535e-05,5.370118368441678e-06,8.423955034703725e-07,3.167891274053035e-06
522,2008-0524,0,2456030.141,14.901,0.459,2.348,0.927,1.0,19.391,19.391,2455265.75,244,728,794,0.011727980565951146,0.0023886863197969646,-0.016642526973380395,-0.004409213563306909,0.006149805530888872,0.0031318916985870393,-0.0018659514887601702,-0.001525493739919077,0.0009166309634510938,0.0005589587062960862,-0.00038080923585470265,-0.0002010464677321449,0.00011164216376917567,3.427377360746119e-05,-8.981167955502837e-06,1.4377924789957764e-05,-6.73271511246163e-06,-6.07742129602853e-06,1.5282516345989604e-06,1.2888199866228327e-05,-4.187976909191218e-06,-2.4086606231075485e-06,-4.1273201550097525e-06,5.1515303081607795e-06,5.78165657963266e-06,-2.007519987527033e-06
523,2008-0525,0,2456048.23,3.624,1.635,1.107,0.11,1.0,17.527,17.527,2455260.75,745,774,801,0.0013630025435454167,-0.005186434940331535,-0.001996264276543212,-0.0045027669710505785,0.0006971915834628273,-0.002959730550746836,-0.00014269683944875483,-0.0010185925211913527,1.8540755619454592e-05,0.0008186919170556036,7.46088514032733e-06,0.0022758929835237397,2.442813446656469e-06,0.002985155590874211,1.3953359475569527e-05,0.0029319244481370993,1.3640697660602512e-05,0.0022921640217558187,1.2436651924807895e-05,0.0014269038741491053,6.330840529323692e-06,0.0006762722227064774,3.468869685471871e-06,0.00022161333766510116,4.921155197977725e-07,3.8906587453147186e-05
524,2008-0526,0,2456060.181,32.555,0.261,3.932,1.487,1.0,20.087,20.087,2455269.75,667,757,824,0.02556050429757754,0.0012998419150895447,-0.03348326885888854,-0.0008608268261716605,0.008260921539175835,-0.0005033316243946729,-0.0013042443615487922,-0.0002685120129904281,0.0019042172484052152,0.0002237163902284186,-0.0009926699621174875,-3.966970234684416e-05,0.00011582935459583931,-1.1056785216839265e-05,3.3859114554197856e-05,3.545454580651409e-05,1.4424105046952287e-05,3.7161500024085084e-05,-7.023640412283743e-05,3.9222377181895924e-05,-3.762481893362482e-05,2.7946394325320172e-05,-1.9778123415493772e-06,1.613758396599501e-05,4.600219412395549e-07,3.857593158496016e-06
525,2008-0527,0,2456046.733,4.669,0.35,2.985,1.187,1.0,20.2,20.2,2455260.75,568,772,799,0.012678467897905098,-0.02339116249156749,-0.01232478130604742,-0.022244199838927517,0.007920813268637932,-0.01352122944742505,0.00030850213087069893,-0.005020809332893909,0.0002357686660973698,0.004025804115271904,-0.0012458731098347838,0.01059624416598591,-0.0018333419117034903,0.014029323097742318,-0.002021708068593884,0.013710425121406482,-0.0016982491875903762,0.010726518146771866,-0.0011495218810386502,0.006669536904449335,-0.0005979468928690936,0.003182564592194399,-0.00022410241203844712,0.0010467801814315668,-4.802719404836409e-05,0.00019020478556019081
526,2008-0528,0,2456054.996,8.162,0.47,2.299,0.904,1.0,18.489,18.489,2455260.75,809,771,813,0.010352815775351189,0.0024929658338592744,-0.015623570305988446,-0.004597223096526609,0.0068056681614745125,0.0032295093190072895,-0.001945641858083535,-0.0013427437591375518,0.0005388462725587988,0.0004780268775344754,-9.545211507619902e-05,-0.00012168469738680177,2.1242774167782954e-05,1.8447332527140278e-05,1.682410494224752e-05,-3.607932154169081e-05,-5.0996319717181126e-05,-3.721829623441124e-05,1.8175055885279444e-05,-2.7168679733065557e-05,-2.929834761497894e-05,-3.215131128194715e-05,-1.298854120474565e-06,-1.6591613976335323e-05,-7.314226089960084e-06,-8.089562857807734e-06
527,2008-0529,0,2456047.289,15.09,0.038,26.142,3.543,0.239,19.951,21.505,2455260.75,769,773,804,0.015661623858848804,-0.001705102874736253,-0.02616337622330001,0.007260029424832512,0.008434635338402724,-0.002756158048928679,-0.002942503130722884,0.0015014692033008287,0.00029757240337406144,-0.0004972745735018787,0.0005005023054764579,-0.00041888340802422573,0.0006690735506429171,-0.000806362732492316,0.0010735554944689926,-0.0008624615048975852,0.0009471308462367727,-0.0007627633197260948,0.0007721324027569552,-0.000538396455746804,0.00047141659063389097,-0.00028446979943957794,0.0002211192048567112,-0.00011937861360822115,5.711739115153885e-05,-1.0247297252462836e-05
